image_id,dataset,model,method,metric,value,time_ms
CHNCXR_0210_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.0057298813321604025,
CHNCXR_0210_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,0.0048833750158991125,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,3.9015360290004537,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.0019146552382394459,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.007866236021092005,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,0.013291436758741542,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,4.047287544000028,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.016076051295783857,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.00267736156703826,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,0.004281845531395404,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,4.045062316999974,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.0031948849255721244,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.0031513019887677665,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,0.010496433499795269,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.6104473140003392,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.1277658657689328,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.005815153955361147,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.8090231049208091,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.6324459249999563,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.012315659997001894,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.006112596266512557,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.8590742229973032,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.6147383110001101,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.07087244608381998,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.02848183533243479,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.8603170329319452,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.6155349049995493,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.07635285245730764,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.012215001990174314,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.7357069078845535,
CHNCXR_0210_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.6135310790004951,
CHNCXR_0210_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.019437616252186277,
CHNCXR_0210_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.001749134209929338,
CHNCXR_0210_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.8932611047437837,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.6116881010002544,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.1020861990247566,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.007518015523265374,
CHNCXR_0230_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.8326442854160565,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.611292087000038,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.11610974539491639,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.004876988367019188,
CHNCXR_0259_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.8369359001520956,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,fourier_shap,attribution_wall_sec,0.6186912310004118,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,fourier_shap,insertion_auc,0.15162623389197322,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,fourier_shap,deletion_auc,0.009821429620123698,
CHNCXR_0310_0,chncxr_shenzhen,resnet50,fourier_shap,stability_cosine,0.8036056424820399,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.9824668540004495,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.005906592465353874,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.01706220734308747,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.08778382415791391,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.973809094999524,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.005995132420517983,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.008083909820987757,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.0008364241313774589,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.970520189999661,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.0074420033985890515,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.007260892422058021,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.03453796015287539,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.9753020069993,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.005692141814895134,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.0057681490951731725,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.0065920183279692315,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.964678446000107,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.004204791852426486,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.004313108219431986,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.011226384730833814,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.970160609999766,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.00442892120354457,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.0045715411256908225,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.021200637693539987,
CHNCXR_0259_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.9740688789997876,
CHNCXR_0259_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.010511841116971477,
CHNCXR_0259_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.012549307433768577,
CHNCXR_0259_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.00013070250724935296,
CHNCXR_0310_0,chncxr_shenzhen,vgg16,ma_gig,attribution_wall_sec,3.9720730449998882,
CHNCXR_0310_0,chncxr_shenzhen,vgg16,ma_gig,insertion_auc,0.004219793554266578,
CHNCXR_0310_0,chncxr_shenzhen,vgg16,ma_gig,deletion_auc,0.004950558810219689,
CHNCXR_0310_0,chncxr_shenzhen,vgg16,ma_gig,stability_cosine,0.01747272552800349,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,fourier_shap,attribution_wall_sec,0.9866988000003403,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,fourier_shap,insertion_auc,0.026602073085816802,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,fourier_shap,deletion_auc,0.041036915987450726,
CHNCXR_0008_0,chncxr_shenzhen,vgg16,fourier_shap,stability_cosine,-0.9031145513551564,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,fourier_shap,attribution_wall_sec,0.9983587220003756,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,fourier_shap,insertion_auc,0.06420137985078467,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,fourier_shap,deletion_auc,0.052412108747493476,
CHNCXR_0047_0,chncxr_shenzhen,vgg16,fourier_shap,stability_cosine,0.8580062931272792,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,fourier_shap,attribution_wall_sec,0.9904576540002381,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,fourier_shap,insertion_auc,0.0109047184226626,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,fourier_shap,deletion_auc,0.018185364403517864,
CHNCXR_0089_0,chncxr_shenzhen,vgg16,fourier_shap,stability_cosine,0.949476307935726,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,fourier_shap,attribution_wall_sec,0.9883035450002353,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,fourier_shap,insertion_auc,0.2014377813906625,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,fourier_shap,deletion_auc,0.05796059659138411,
CHNCXR_0186_0,chncxr_shenzhen,vgg16,fourier_shap,stability_cosine,0.8939247843709891,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,fourier_shap,attribution_wall_sec,0.9895666880001954,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,fourier_shap,insertion_auc,0.08472210221772443,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,fourier_shap,deletion_auc,0.00749380494057909,
CHNCXR_0210_0,chncxr_shenzhen,vgg16,fourier_shap,stability_cosine,0.9722152390070283,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,fourier_shap,attribution_wall_sec,0.9886591090007641,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,fourier_shap,insertion_auc,0.004877978604613024,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,fourier_shap,deletion_auc,0.007019897359345149,
CHNCXR_0230_0,chncxr_shenzhen,vgg16,fourier_shap,stability_cosine,0.9604058627243133,
CHNCXR_0259_0,chncxr_shenzhen,vgg16,fourier_shap,attribution_wall_sec,1.0124262389999785,
